Transparent|透明
Logs (V)|丸太（縦）
Grave A|墓A
Grave B|墓B
Grave C|墓C
Offered Flowers|お供えの花
Scarecrow A|かかしA
Logs (H)|丸太（横）
Logs (H)|丸太（横）
Logs (V)|丸太（縦）
Grave A|墓A
Grave B|墓B
Grave C|墓C
Grave C|墓C
Scarecrow A|かかしA
Large Tree A|大きな木A
Large Tree A|大きな木A
Dead Tree|枯れ木
Dead Tree|枯れ木
Large Tree B|大きな木B
Large Tree B|大きな木B
Crops A (Radish)|農作物A（ダイコン）
Crops B (Cherry Tomato)|農作物B（ミニトマト）
Large Tree A|大きな木A
Large Tree A|大きな木A
Dead Tree|枯れ木
Dead Tree|枯れ木
Large Tree B|大きな木B
Large Tree B|大きな木B
Crops A (Radish)|農作物A（ダイコン）
Crops C (Radish)|農作物C（ダイコン）
Large Tree A|大きな木A
Large Tree A|大きな木A
Dead Tree|枯れ木
Dead Tree|枯れ木
Large Tree B|大きな木B
Large Tree B|大きな木B
Crops A (Radish)|農作物A（ダイコン）
Crops D (Cabbage)|農作物D（キャベツ）
Large Tree C|大きな木C
Large Tree C|大きな木C
Large Tree C|大きな木C
Fruit Tree A|果樹A
Fruit Tree A|果樹A
Fruit Tree A|果樹A
Crops E (Pumpkin)|農作物E（カボチャ）
Crops E (Pumpkin)|農作物E（カボチャ）
Large Tree C|大きな木C
Large Tree C|大きな木C
Large Tree C|大きな木C
Fruit Tree A|果樹A
Fruit Tree A|果樹A
Fruit Tree A|果樹A
Fruit Tree B|果樹B
Fruit Tree B|果樹B
Large Tree C|大きな木C
Large Tree C|大きな木C
Large Tree C|大きな木C
Fruit Tree A|果樹A
Fruit Tree A|果樹A
Fruit Tree A|果樹A
Fruit Tree B|果樹B
Fruit Tree B|果樹B
Ledge A (Top)|段差A（上端）
Ledge A (Top)|段差A（上端）
Ledge A (Top)|段差A（上端）
Wall Vines A|壁のツタA
Wall Vines B|壁のツタB
Wall Grass A|壁の草A
Bridge Rail (V, Left Side)|橋の欄干（縦・左側）
Bridge Rail (V, Right Side)|橋の欄干（縦・右側）
Ledge B (Top)|段差B（上端）
Ledge B (Top)|段差B（上端）
Ledge B (Top)|段差B（上端）
Wall Vines A|壁のツタA
Wall Vines B|壁のツタB
Wall Grass B|壁の草B
Bridge Rail (V, Left Side)|橋の欄干（縦・左側）
Bridge Rail (V, Right Side)|橋の欄干（縦・右側）
Ledge A (Top, Shadow)|段差A（上端・影）
Ledge A (Top, Shadow)|段差A（上端・影）
Ledge A (Top, Shadow)|段差A（上端・影）
Ledge B (Top, Shadow)|段差B（上端・影）
Ledge B (Top, Shadow)|段差B（上端・影）
Ledge B (Top, Shadow)|段差B（上端・影）
Bridge Rail (V, Left Side)|橋の欄干（縦・左側）
Bridge Rail (V, Right Side)|橋の欄干（縦・右側）
Cliff (Bottom)|崖（下端）
Cliff (Bottom)|崖（下端）
Cliff (Bottom)|崖（下端）
Cliff (Bottom, Shadow)|崖（下端・影）
Cliff (Bottom, Shadow)|崖（下端・影）
Cliff (Bottom, Shadow)|崖（下端・影）
Bridge Rail (V, Left Side)|橋の欄干（縦・左側）
Bridge Rail (V, Right Side)|橋の欄干（縦・右側）
Dirt Stairs A (Bottom)|土の階段A（下端）
Dirt Stairs A (Bottom)|土の階段A（下端）
Dirt Stairs A (Bottom)|土の階段A（下端）
Dirt Stairs B (Bottom)|土の階段B（下端）
Barricade|バリケード
Bridge Rail (H, Top Side)|橋の欄干（横・上側）
Bridge Rail (H, Top Side)|橋の欄干（横・上側）
Bridge Rail (H, Top Side)|橋の欄干（横・上側）
Paved Stairs A (Bottom)|舗装された階段A（下端）
Paved Stairs A (Bottom)|舗装された階段A（下端）
Paved Stairs A (Bottom)|舗装された階段A（下端）
Paved Stairs B (Bottom)|舗装された階段B（下端）
Paved Stairs A (Bottom)|舗装された階段A（下端）
Bridge Rail (H, Top Side)|橋の欄干（横・上側）
Bridge Rail (H, Top Side)|橋の欄干（横・上側）
Bridge Rail (H, Top Side)|橋の欄干（横・上側）
Slope|坂
Slope|坂
Slope|坂
Shadow (Slope)|坂の影
Mooring Bollard A|ビットA
Bridge Rail (H, Bottom Side)|橋の欄干（横・下側）
Bridge Rail (H, Bottom Side)|橋の欄干（横・下側）
Bridge Rail (H, Bottom Side)|橋の欄干（横・下側）
Slope|坂
Slope|坂
Slope|坂
Shadow (Slope)|坂の影
Mooring Bollard B|ビットB
Bridge Rail (H, Bottom Side)|橋の欄干（横・下側）
Bridge Rail (H, Bottom Side)|橋の欄干（横・下側）
Bridge Rail (H, Bottom Side)|橋の欄干（横・下側）
Slope|坂
Slope|坂
Slope|坂
Shadow (Slope)|坂の影
Statue A|石像A
Bridge Spar (Shadow)|橋げた（影）
Bridge Spar (Center)|橋げた（中央）
Bridge Spar|橋げた
Clothes Drying Stand|物干しスタンド
Clothes Drying Stand|物干しスタンド
Clothes Drying Stand|物干しスタンド
Bench (V)|ベンチ（縦）
Statue A|石像A
Stone Pillar (Plant A)|石の柱（植物A）
Stone Pillar (Plant B)|石の柱（植物B）
Bridge Spar|橋げた
Clothes Drying Stand|物干しスタンド
Clothes Drying Stand|物干しスタンド
Clothes Drying Stand|物干しスタンド
Bench (V)|ベンチ（縦）
Statue B|石像B
Statue C|石像C
Stone Pillar|石の柱
Bridge Spar|橋げた
Clothes Drying Stand (Towel A)|物干しスタンド（タオルA）
Clothes Drying Stand (Clothes)|物干しスタンド（服）
Clothes Drying Stand (Towel B)|物干しスタンド（タオルB）
Bench (V)|ベンチ（縦）
Statue B|石像B
Statue C|石像C
Stone Pillar|石の柱
Monument|モニュメント
Clothes Drying Stand (Towel A)|物干しスタンド（タオルA）
Clothes Drying Stand (Clothes)|物干しスタンド（服）
Clothes Drying Stand (Towel B)|物干しスタンド（タオルB）
Bench (H)|ベンチ（横）
Bench (H)|ベンチ（横）
Bench (H)|ベンチ（横）
Stone Pillar|石の柱
Monument|モニュメント
